"ID";"WijkenEnBuurten";"Gemeentenaam_1";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Bevolkingsdichtheid_33";"GemiddeldInkomenPerInwoner_66";"MeestVoorkomendePostcode_103"
"2272";"BU18590004";"Berkelland                              ";"     320";"     160";"     160";"      55";"      45";"      50";"     120";"      55";"     907";"       .";"      7275"
"2273";"BU18590005";"Berkelland                              ";"     315";"     150";"     165";"      55";"      35";"      65";"     105";"      65";"    1672";"       .";"      7273"
"2274";"BU18590006";"Berkelland                              ";"     345";"     185";"     160";"      55";"      35";"      65";"     100";"     100";"      36";"       .";"      7275"
"2275";"BU18590007";"Berkelland                              ";"     770";"     390";"     380";"     140";"      85";"     120";"     255";"     180";"      40";"       .";"      7274"
"2276";"BU18590008";"Berkelland                              ";"     525";"     285";"     245";"      85";"      60";"      85";"     175";"     125";"      43";"       .";"      7271"
"2277";"BU18590009";"Berkelland                              ";"     390";"     205";"     190";"      45";"      60";"      55";"     145";"      95";"      38";"       .";"      7273"
"2278";"WK185901  ";"Berkelland                              ";"   12525";"    6325";"    6200";"    1890";"    1380";"    2535";"    3860";"    2875";"     182";"    23.5";"         ."
"2279";"BU18590100";"Berkelland                              ";"    5595";"    2745";"    2850";"     790";"     550";"    1180";"    1635";"    1445";"    3234";"    24.5";"      7151"
"2280";"BU18590101";"Berkelland                              ";"    3685";"    1870";"    1815";"     615";"     405";"     810";"    1070";"     795";"    3256";"    20.9";"      7151"
"2281";"BU18590102";"Berkelland                              ";"     480";"     240";"     245";"      70";"      65";"      80";"     180";"      90";"    1057";"       .";"      7157"
"2282";"BU18590103";"Berkelland                              ";"     100";"      55";"      50";"      10";"      10";"      15";"      45";"      25";"      87";"       .";"      7157"
"2283";"BU18590104";"Berkelland                              ";"     320";"     155";"     165";"      50";"      50";"      45";"     115";"      70";"      37";"       .";"      7151"
"2284";"BU18590105";"Berkelland                              ";"     155";"      80";"      80";"      15";"      25";"      35";"      55";"      30";"      36";"       .";"      7152"
"2285";"BU18590106";"Berkelland                              ";"     720";"     385";"     335";"     105";"     105";"     110";"     275";"     130";"      45";"       .";"      7152"
"2286";"BU18590107";"Berkelland                              ";"     395";"     210";"     185";"      65";"      50";"      60";"     130";"      95";"      37";"       .";"      7151"
"2287";"BU18590108";"Berkelland                              ";"     420";"     230";"     190";"      90";"      60";"      85";"     125";"      70";"      50";"       .";"      7151"
"2288";"BU18590109";"Berkelland                              ";"     675";"     375";"     300";"      90";"      75";"     135";"     245";"     135";"      41";"       .";"      7157"
"2289";"WK185902  ";"Berkelland                              ";"    2830";"    1495";"    1340";"     400";"     380";"     510";"     970";"     575";"      83";"    24.8";"         ."
"2290";"BU18590200";"Berkelland                              ";"    1270";"     655";"     620";"     170";"     165";"     215";"     410";"     325";"    3262";"       .";"      7156"
"2291";"BU18590206";"Berkelland                              ";"     395";"     210";"     190";"      60";"      60";"      95";"     130";"      60";"      79";"       .";"      7156"
"2292";"BU18590207";"Berkelland                              ";"     970";"     530";"     440";"     145";"     135";"     180";"     365";"     150";"      44";"       .";"      7156"
"2293";"BU18590209";"Berkelland                              ";"     200";"     105";"      95";"      30";"      35";"      30";"      75";"      45";"      31";"       .";"      7156"
"2294";"WK185903  ";"Berkelland                              ";"   10475";"    5200";"    5280";"    1550";"    1200";"    1975";"    3250";"    2505";"     229";"    23.3";"         ."
"2295";"BU18590300";"Berkelland                              ";"    7725";"    3805";"    3920";"    1120";"     835";"    1510";"    2290";"    1975";"    2586";"    22.8";"      7161"
"2296";"BU18590301";"Berkelland                              ";"     225";"     115";"     115";"      35";"      30";"      40";"      75";"      50";"     738";"       .";"      7161"
"2297";"BU18590302";"Berkelland                              ";"     510";"     270";"     245";"      65";"      70";"     100";"     180";"     100";"    2005";"       .";"      7165"
"2298";"BU18590307";"Berkelland                              ";"     510";"     265";"     250";"      85";"      80";"     100";"     165";"      90";"      43";"       .";"      7165"
"2299";"BU18590308";"Berkelland                              ";"     630";"     305";"     325";"     120";"      75";"     110";"     220";"     115";"      39";"       .";"      7161"
"2300";"BU18590309";"Berkelland                              ";"     880";"     445";"     435";"     130";"     125";"     125";"     330";"     180";"      62";"       .";"      7161"
"2301";"WK185904  ";"Berkelland                              ";"    7725";"    3875";"    3855";"    1095";"     830";"    1275";"    2410";"    2120";"     141";"    25.0";"         ."
"2302";"BU18590400";"Berkelland                              ";"    5830";"    2910";"    2920";"     850";"     605";"     985";"    1730";"    1670";"    2533";"    24.9";"      7261"
"2303";"BU18590405";"Berkelland                              ";"     940";"     465";"     475";"     115";"     115";"     150";"     350";"     220";"      55";"       .";"      7261"
"2304";"BU18590406";"Berkelland                              ";"     305";"     160";"     150";"      50";"      30";"      40";"     110";"      85";"      27";"       .";"      7261"
"2305";"BU18590407";"Berkelland                              ";"     165";"      95";"      70";"      20";"      25";"      30";"      55";"      45";"      39";"       .";"      7261"
"2306";"BU18590408";"Berkelland                              ";"     375";"     190";"     185";"      50";"      50";"      65";"     135";"      80";"      23";"       .";"      7261"
"2307";"BU18590410";"Berkelland                              ";"     125";"      65";"      60";"      20";"      10";"      25";"      45";"      30";"      29";"       .";"      7261"
"2308";"GM1721    ";"Bernheze                                ";"   30550";"   15392";"   15158";"    4997";"    3822";"    6508";"    9070";"    6153";"     340";"    25.6";"         ."
"2309";"WK172101  ";"Bernheze                                ";"   12210";"    6050";"    6160";"    1995";"    1500";"    2785";"    3515";"    2400";"    2398";"    25.8";"         ."
"2310";"BU17210101";"Bernheze                                ";"     590";"     305";"     290";"      45";"      50";"     100";"     140";"     240";"    2188";"       .";"      5384"
"2311";"BU17210102";"Bernheze                                ";"     610";"     305";"     310";"      75";"      65";"     110";"     185";"     160";"    3470";"       .";"      5384"
"2312";"BU17210103";"Bernheze                                ";"     370";"     165";"     205";"      60";"      25";"      75";"      90";"     100";"    4698";"       .";"      5384"
"2313";"BU17210104";"Bernheze                                ";"     445";"     235";"     215";"      55";"      50";"      75";"     145";"     110";"    5037";"       .";"      5384"
"2314";"BU17210105";"Bernheze                                ";"     445";"     220";"     225";"      55";"      40";"      90";"     115";"     135";"    3305";"       .";"      5384"
"2315";"BU17210106";"Bernheze                                ";"     630";"     320";"     310";"      85";"      80";"     100";"     190";"     160";"    2230";"       .";"      5384"
"2316";"BU17210107";"Bernheze                                ";"     650";"     290";"     360";"      60";"      55";"      95";"     145";"     285";"    6300";"       .";"      5384"
"2317";"BU17210108";"Bernheze                                ";"     560";"     290";"     275";"     105";"      45";"     150";"     130";"     120";"    7048";"       .";"      5384"
"2318";"BU17210109";"Bernheze                                ";"     740";"     365";"     375";"     140";"     120";"     145";"     215";"     110";"    1923";"       .";"      5384"
"2319";"BU17210110";"Bernheze                                ";"     715";"     350";"     365";"     115";"     105";"     120";"     235";"     130";"    1259";"       .";"      5384"
"2320";"BU17210111";"Bernheze                                ";"     320";"     155";"     165";"      45";"      40";"      55";"      95";"      70";"    4190";"       .";"      5384"
"2321";"BU17210112";"Bernheze                                ";"     470";"     235";"     240";"      80";"      55";"     120";"     150";"      55";"    7043";"       .";"      5384"
"2322";"BU17210113";"Bernheze                                ";"     310";"     150";"     165";"      40";"      25";"      50";"     105";"      75";"    4934";"       .";"      5384"
"2323";"BU17210114";"Bernheze                                ";"     625";"     325";"     305";"     125";"      90";"     165";"     190";"      45";"    7448";"       .";"      5384"
"2324";"BU17210115";"Bernheze                                ";"     630";"     305";"     325";"      80";"     105";"     135";"     245";"      55";"    7260";"       .";"      5384"
"2325";"BU17210116";"Bernheze                                ";"     450";"     225";"     230";"      85";"      50";"      95";"     150";"      60";"    4276";"       .";"      5384"
"2326";"BU17210117";"Bernheze                                ";"     400";"     210";"     190";"      40";"      40";"      45";"     135";"     130";"    1544";"       .";"      5384"
"2327";"BU17210118";"Bernheze                                ";"    1140";"     555";"     590";"     315";"      90";"     485";"     200";"      40";"    5034";"       .";"      5384"
"2328";"BU17210119";"Bernheze                                ";"     925";"     465";"     460";"     165";"     170";"     205";"     295";"      80";"    1155";"       .";"      5384"
"2329";"BU17210120";"Bernheze                                ";"    1225";"     625";"     605";"     195";"     150";"     335";"     325";"     205";"    1044";"       .";"      5384"
"2330";"WK172102  ";"Bernheze                                ";"    6360";"    3180";"    3185";"    1020";"     720";"    1270";"    1875";"    1465";"    2183";"    26.0";"         ."
"2331";"BU17210201";"Bernheze                                ";"     640";"     315";"     325";"      85";"      75";"      95";"     200";"     180";"    1956";"       .";"      5473"
"2332";"BU17210202";"Bernheze                                ";"     490";"     255";"     235";"      80";"      55";"      90";"     155";"     105";"    1528";"       .";"      5473"
"2333";"BU17210203";"Bernheze                                ";"     435";"     215";"     220";"      80";"      45";"      90";"     140";"      75";"    1787";"       .";"      5473"
"2334";"BU17210204";"Bernheze                                ";"     795";"     365";"     430";"      85";"      85";"     130";"     195";"     290";"    3442";"       .";"      5473"
"2335";"BU17210205";"Bernheze                                ";"     385";"     185";"     205";"      35";"      45";"      50";"     100";"     145";"    3662";"       .";"      5473"
"2336";"BU17210206";"Bernheze                                ";"     740";"     355";"     390";"      90";"      55";"     125";"     195";"     265";"    4800";"       .";"      5473"
"2337";"BU17210207";"Bernheze                                ";"     415";"     200";"     220";"      70";"      45";"      60";"     115";"     110";"    2993";"       .";"      5473"
"2338";"BU17210208";"Bernheze                                ";"     495";"     245";"     250";"      70";"      50";"     120";"     155";"      90";"    1045";"       .";"      5473"
"2339";"BU17210209";"Bernheze                                ";"     540";"     290";"     255";"     100";"      80";"     110";"     160";"      80";"    1031";"       .";"      5473"
"2340";"BU17210210";"Bernheze                                ";"     940";"     505";"     440";"     230";"     105";"     290";"     240";"      65";"    3837";"       .";"      5473"
"2341";"BU17210211";"Bernheze                                ";"     505";"     265";"     240";"      85";"      65";"      90";"     205";"      50";"    3115";"       .";"      5473"
"2342";"WK172103  ";"Bernheze                                ";"    5350";"    2645";"    2710";"     805";"     720";"    1040";"    1650";"    1125";"    1754";"    24.3";"         ."
"2343";"BU17210301";"Bernheze                                ";"     670";"     330";"     340";"     100";"      60";"     150";"     170";"     175";"    2902";"       .";"      5388"
"2344";"BU17210302";"Bernheze                                ";"     505";"     245";"     260";"      75";"      60";"      90";"     135";"     135";"    3457";"       .";"      5388"
"2345";"BU17210303";"Bernheze                                ";"     525";"     265";"     260";"      65";"      65";"      90";"     160";"     130";"    3710";"       .";"      5388"
"2346";"BU17210304";"Bernheze                                ";"     445";"     225";"     220";"      45";"      75";"      60";"     160";"      90";"     470";"       .";"      5388"
"2347";"BU17210305";"Bernheze                                ";"     395";"     185";"     215";"      40";"      30";"      80";"      75";"     160";"    1337";"       .";"      5388"
"2348";"BU17210306";"Bernheze                                ";"     725";"     350";"     375";"     120";"     105";"     140";"     275";"      75";"    5251";"       .";"      5388"
"2349";"BU17210307";"Bernheze                                ";"     550";"     285";"     265";"      65";"      85";"     100";"     205";"      80";"    2407";"       .";"      5388"
"2350";"BU17210308";"Bernheze                                ";"     495";"     245";"     255";"      75";"      30";"      95";"     120";"     165";"    4276";"       .";"      5388"
"2351";"BU17210309";"Bernheze                                ";"     620";"     315";"     310";"      95";"     135";"      90";"     240";"      50";"    1625";"       .";"      5388"
"2352";"BU17210310";"Bernheze                                ";"     445";"     220";"     225";"     105";"      60";"     125";"      95";"      45";"    1011";"       .";"      5388"
"2353";"WK172104  ";"Bernheze                                ";"    1205";"     640";"     565";"     170";"     210";"     210";"     415";"     195";"      53";"       .";"         ."
"2354";"BU17210401";"Bernheze                                ";"     340";"     175";"     165";"      45";"      80";"      55";"      95";"      50";"      26";"       .";"      5384"
"2355";"BU17210402";"Bernheze                                ";"     545";"     300";"     245";"      65";"      90";"      85";"     200";"      95";"      96";"       .";"      5384"
"2356";"BU17210403";"Bernheze                                ";"     325";"     170";"     160";"      55";"      35";"      65";"     115";"      45";"      75";"       .";"      5384"
"2357";"WK172105  ";"Bernheze                                ";"    3110";"    1660";"    1450";"     590";"     395";"     680";"     940";"     495";"      94";"    25.8";"         ."
"2358";"BU17210501";"Bernheze                                ";"     360";"     195";"     165";"      65";"      50";"      65";"     100";"      70";"      70";"       .";"      5473"
"2359";"BU17210502";"Bernheze                                ";"     295";"     160";"     135";"      55";"      35";"      50";"      90";"      55";"      63";"       .";"      5473"
"2360";"BU17210503";"Bernheze                                ";"     580";"     315";"     265";"     105";"      70";"     150";"     180";"      60";"      74";"       .";"      5473"
"2361";"BU17210504";"Bernheze                                ";"     435";"     240";"     200";"      70";"      65";"      70";"     165";"      60";"      67";"       .";"      5473"
"2362";"BU17210505";"Bernheze                                ";"     490";"     265";"     230";"      85";"      85";"      80";"     160";"      65";"      57";"       .";"      5473"
"2363";"BU17210506";"Bernheze                                ";"     960";"     495";"     465";"     200";"      80";"     250";"     240";"     175";"    1755";"       .";"      5472"
"2364";"WK172106  ";"Bernheze                                ";"    2325";"    1230";"    1095";"     405";"     270";"     510";"     665";"     460";"     102";"       .";"         ."
"2365";"BU17210601";"Bernheze                                ";"     535";"     285";"     250";"      85";"      75";"     105";"     160";"     100";"      51";"       .";"      5388"
"2366";"BU17210602";"Bernheze                                ";"    1375";"     735";"     645";"     250";"     140";"     325";"     365";"     285";"    1786";"       .";"      5476"
"2367";"BU17210603";"Bernheze                                ";"     420";"     215";"     210";"      70";"      50";"      75";"     140";"      70";"      36";"       .";"      5388"
"2368";"GM0753    ";"Best                                    ";"   29497";"   14765";"   14732";"    4724";"    3668";"    6324";"    9314";"    5467";"     860";"    28.1";"         ."
"2369";"WK075300  ";"Best                                    ";"   29495";"   14765";"   14730";"    4725";"    3665";"    6325";"    9315";"    5465";"     860";"    28.1";"         ."
"2370";"BU07530001";"Best                                    ";"    1450";"     650";"     795";"      75";"      65";"     245";"     250";"     815";"    4004";"       .";"      5683"
"2371";"BU07530002";"Best                                    ";"    1770";"     870";"     900";"     245";"     205";"     455";"     455";"     410";"    6121";"       .";"      5683"
"2372";"BU07530003";"Best                                    ";"    1350";"     690";"     655";"     230";"     160";"     255";"     435";"     265";"    4378";"       .";"      5683"
"2373";"BU07530004";"Best                                    ";"    1680";"     845";"     830";"     240";"     160";"     365";"     570";"     335";"    5461";"       .";"      5683"
"2374";"BU07530005";"Best                                    ";"     180";"      95";"      85";"      15";"      10";"      20";"      55";"      75";"     199";"       .";"      5683"
"2375";"BU07530006";"Best                                    ";"     510";"     260";"     250";"      75";"      40";"      90";"     200";"     100";"    2211";"       .";"      5684"
"2376";"BU07530007";"Best                                    ";"    3360";"    1680";"    1675";"     530";"     430";"     725";"    1160";"     510";"    4409";"    28.5";"      5682"
"2377";"BU07530008";"Best                                    ";"    3535";"    1765";"    1765";"     490";"     380";"     855";"    1060";"     750";"    4489";"    24.2";"      5684"
"2378";"BU07530009";"Best                                    ";"    4085";"    2010";"    2075";"     730";"     495";"    1005";"    1065";"     790";"    4484";"    24.6";"      5684"
"2379";"BU07530010";"Best                                    ";"     155";"      95";"      60";"       5";"      50";"      45";"      45";"      10";"     154";"       .";"      5683"
"2380";"BU07530011";"Best                                    ";"      30";"      15";"      10";"       0";"       5";"       5";"      10";"       5";"      34";"       .";"      5684"
"2381";"BU07530012";"Best                                    ";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"      5684"
"2382";"BU07530013";"Best                                    ";"    3580";"    1820";"    1760";"     680";"     580";"     670";"    1340";"     310";"    5031";"    31.9";"      5685"
"2383";"BU07530014";"Best                                    ";"    3940";"    1985";"    1950";"     790";"     525";"     675";"    1395";"     555";"    4793";"    33.9";"      5685"
"2384";"BU07530015";"Best                                    ";"    1955";"    1005";"     950";"     310";"     275";"     425";"     630";"     310";"      79";"       .";"      5681"
"2385";"BU07530016";"Best                                    ";"     455";"     215";"     235";"      90";"      60";"     195";"      75";"      25";"    1302";"       .";"      5684"
"2386";"BU07530017";"Best                                    ";"    1435";"     730";"     700";"     205";"     215";"     280";"     545";"     190";"    5888";"       .";"      5684"
"2387";"GM0209    ";"Beuningen                               ";"   25798";"   12883";"   12915";"    3930";"    2995";"    5592";"    8485";"    4796";"     591";"    26.8";"         ."
"2388";"WK020901  ";"Beuningen                               ";"   17430";"    8635";"    8795";"    2660";"    2075";"    3740";"    5870";"    3075";"    1076";"    27.5";"         ."
"2389";"BU02090100";"Beuningen                               ";"     425";"     215";"     210";"      40";"      70";"      50";"     175";"      80";"      94";"       .";"      6641"
"2390";"BU02090101";"Beuningen                               ";"      55";"      30";"      25";"      10";"      10";"       5";"      20";"       5";"      11";"       .";"      6641"
"2391";"BU02090110";"Beuningen                               ";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"         ."
"2392";"BU02090111";"Beuningen                               ";"     800";"     355";"     445";"      40";"      40";"     185";"     145";"     380";"    3706";"       .";"      6641"
"2393";"BU02090112";"Beuningen                               ";"    1655";"     820";"     840";"     245";"     130";"     390";"     415";"     470";"    4590";"       .";"      6641"
"2394";"BU02090113";"Beuningen                               ";"     415";"     200";"     210";"      40";"      45";"      40";"     190";"      95";"    1692";"       .";"      6641"
"2395";"BU02090114";"Beuningen                               ";"     130";"      70";"      60";"      15";"      20";"      15";"      45";"      20";"    1194";"       .";"      6641"
"2396";"BU02090121";"Beuningen                               ";"     910";"     430";"     480";"     125";"     105";"     165";"     280";"     230";"    5885";"       .";"      6641"
"2397";"BU02090122";"Beuningen                               ";"      80";"      45";"      35";"       5";"      10";"      10";"      30";"      15";"    1124";"       .";"      6641"
"2398";"BU02090123";"Beuningen                               ";"     405";"     190";"     215";"      75";"      35";"      95";"     115";"      80";"    6235";"       .";"      6641"
"2399";"BU02090124";"Beuningen                               ";"     630";"     320";"     310";"     110";"      65";"     150";"     190";"     105";"    6432";"       .";"      6641"
"2400";"BU02090125";"Beuningen                               ";"     220";"     105";"     115";"      25";"      30";"      40";"      75";"      45";"    6961";"       .";"      6641"
"2401";"BU02090126";"Beuningen                               ";"     270";"     130";"     140";"      45";"      25";"      95";"      45";"      55";"    4718";"       .";"      6641"
"2402";"BU02090131";"Beuningen                               ";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"      6641"
"2403";"BU02090141";"Beuningen                               ";"     620";"     320";"     300";"      95";"      85";"     185";"     205";"      45";"    4137";"       .";"      6641"
"2404";"BU02090142";"Beuningen                               ";"    1255";"     635";"     620";"     210";"     140";"     400";"     400";"     100";"    6776";"       .";"      6641"
"2405";"BU02090143";"Beuningen                               ";"     695";"     350";"     340";"      90";"      85";"     160";"     255";"     100";"    5055";"       .";"      6641"
"2406";"BU02090144";"Beuningen                               ";"    1365";"     675";"     690";"     225";"     185";"     290";"     530";"     125";"    6786";"       .";"      6641"
"2407";"BU02090145";"Beuningen                               ";"    1860";"     915";"     945";"     315";"     225";"     400";"     690";"     220";"    5916";"       .";"      6641"
"2408";"BU02090146";"Beuningen                               ";"     810";"     385";"     425";"      85";"      90";"      75";"     280";"     270";"    2211";"       .";"      6641"
"2409";"BU02090147";"Beuningen                               ";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"      6641"
"2410";"BU02090151";"Beuningen                               ";"     695";"     350";"     345";"     100";"      85";"     115";"     255";"     125";"    2413";"       .";"      6642"
"2411";"BU02090152";"Beuningen                               ";"     460";"     235";"     225";"      60";"      55";"      75";"     200";"      60";"    5037";"       .";"      6642"
"2412";"BU02090153";"Beuningen                               ";"     435";"     220";"     215";"      55";"      70";"      70";"     185";"      40";"    3932";"       .";"      6642"
"2413";"BU02090154";"Beuningen                               ";"     410";"     195";"     210";"      45";"      90";"      45";"     180";"      35";"    1558";"       .";"      6642"
"2414";"BU02090161";"Beuningen                               ";"    2795";"    1430";"    1365";"     565";"     345";"     635";"     925";"     320";"    3345";"    33.4";"      6642"
"2415";"WK020902  ";"Beuningen                               ";"    3885";"    1975";"    1910";"     655";"     435";"     915";"    1180";"     690";"     383";"    25.6";"         ."
"2416";"BU02090202";"Beuningen                               ";"     125";"      70";"      60";"      15";"      15";"      10";"      45";"      35";"      64";"       .";"      6644"
"2417";"BU02090203";"Beuningen                               ";"     200";"     115";"      80";"      30";"      25";"      40";"      70";"      25";"      91";"       .";"      6644"
"2418";"BU02090204";"Beuningen                               ";"     115";"      75";"      40";"      20";"       5";"      25";"      45";"      15";"      30";"       .";"      6644"
"2419";"BU02090271";"Beuningen                               ";"     850";"     415";"     435";"     100";"      95";"     160";"     250";"     240";"    2485";"       .";"      6644"
"2420";"BU02090272";"Beuningen                               ";"     705";"     355";"     345";"     105";"      85";"     130";"     225";"     145";"    5178";"       .";"      6644"
"2421";"BU02090273";"Beuningen                               ";"     855";"     420";"     435";"     130";"     100";"     195";"     325";"     100";"    4119";"       .";"      6644"
"2422";"BU02090274";"Beuningen                               ";"     190";"     105";"      85";"      30";"      30";"      30";"      55";"      35";"     450";"       .";"      6644"
"2423";"BU02090275";"Beuningen                               ";"     700";"     345";"     355";"     195";"      50";"     290";"     105";"      50";"    1192";"       .";"      6644"
"2424";"BU02090276";"Beuningen                               ";"     135";"      65";"      65";"      20";"      10";"      20";"      50";"      25";"     451";"       .";"      6644"
"2425";"WK020903  ";"Beuningen                               ";"    2505";"    1265";"    1240";"     365";"     240";"     565";"     780";"     545";"     637";"       .";"         ."
"2426";"BU02090305";"Beuningen                               ";"      85";"      45";"      40";"      10";"      10";"      15";"      35";"      15";"      85";"       .";"      6551"
"2427";"BU02090306";"Beuningen                               ";"     125";"      65";"      60";"      15";"      15";"      20";"      45";"      25";"      64";"       .";"      6551"
"2428";"BU02090381";"Beuningen                               ";"     565";"     280";"     285";"      90";"      45";"     155";"     140";"     130";"    2437";"       .";"      6551"
"2429";"BU02090382";"Beuningen                               ";"    1680";"     845";"     830";"     240";"     165";"     360";"     545";"     365";"    3834";"       .";"      6551"
"2430";"BU02090383";"Beuningen                               ";"      40";"      20";"      20";"       5";"       0";"      10";"      10";"       5";"     190";"       .";"      6551"
"2431";"WK020904  ";"Beuningen                               ";"    1970";"    1005";"     965";"     240";"     235";"     365";"     645";"     480";"     148";"       .";"         ."
"2432";"BU02090407";"Beuningen                               ";"     335";"     170";"     160";"      40";"      35";"      55";"     120";"      70";"      95";"       .";"      6645"
"2433";"BU02090408";"Beuningen                               ";"     370";"     190";"     180";"      35";"      55";"      60";"     135";"      75";"      66";"       .";"      6645"
"2434";"BU02090409";"Beuningen                               ";"      20";"      10";"      10";"       0";"       5";"       0";"       5";"       0";"       6";"       .";"      6645"
"2435";"BU02090491";"Beuningen                               ";"    1245";"     630";"     615";"     155";"     135";"     240";"     375";"     330";"    2209";"       .";"      6645"
"2436";"GM0375    ";"Beverwijk                               ";"   41077";"   20498";"   20579";"    6711";"    4630";"   10747";"   11612";"    7377";"    2232";"    25.4";"         ."
"2437";"WK037500  ";"Beverwijk                               ";"    6185";"    3170";"    3010";"     775";"     580";"    1915";"    1700";"    1215";"    8815";"    24.9";"         ."
"2438";"BU03750000";"Beverwijk                               ";"     725";"     335";"     390";"      50";"      55";"     180";"     190";"     260";"    9422";"       .";"      1941"
"2439";"BU03750001";"Beverwijk                               ";"    1125";"     590";"     530";"     100";"      90";"     375";"     310";"     255";"    4355";"       .";"      1941"
"2440";"BU03750002";"Beverwijk                               ";"    1385";"     725";"     655";"     130";"     125";"     495";"     350";"     290";"   10542";"       .";"      1941"
"2441";"BU03750003";"Beverwijk                               ";"    1045";"     555";"     490";"     165";"     125";"     340";"     295";"     130";"   10689";"       .";"      1944"
"2442";"BU03750004";"Beverwijk                               ";"     785";"     390";"     390";"     145";"      80";"     210";"     235";"     125";"   12815";"       .";"      1943"
"2443";"BU03750005";"Beverwijk                               ";"    1110";"     565";"     545";"     190";"     115";"     320";"     330";"     160";"   14774";"       .";"      1947"
"2444";"WK037501  ";"Beverwijk                               ";"    3885";"    1950";"    1935";"     590";"     420";"     875";"    1220";"     785";"    2924";"    31.0";"         ."
"2445";"BU03750100";"Beverwijk                               ";"    1155";"     560";"     590";"     135";"     125";"     205";"     335";"     360";"    2450";"       .";"      1942"
"2446";"BU03750101";"Beverwijk                               ";"    2710";"    1375";"    1330";"     455";"     290";"     670";"     875";"     425";"    8856";"    28.9";"      1942"
"2447";"BU03750102";"Beverwijk                               ";"      20";"      10";"      10";"       0";"       5";"       5";"      10";"       5";"      38";"       .";"      1943"
"2448";"WK037502  ";"Beverwijk                               ";"    2055";"    1055";"     995";"     325";"     240";"     585";"     605";"     310";"    5956";"       .";"         ."
"2449";"BU03750200";"Beverwijk                               ";"     945";"     490";"     455";"     160";"     120";"     290";"     265";"     115";"    7665";"       .";"      1947"
"2450";"BU03750201";"Beverwijk                               ";"     680";"     360";"     315";"     120";"      80";"     215";"     195";"      80";"    8566";"       .";"      1947"
"2451";"BU03750202";"Beverwijk                               ";"     425";"     205";"     220";"      45";"      40";"      80";"     150";"     115";"    3005";"       .";"      1947"
"2452";"WK037503  ";"Beverwijk                               ";"    5425";"    2675";"    2750";"     845";"     575";"    1575";"    1445";"     990";"    9597";"    22.1";"         ."
"2453";"BU03750300";"Beverwijk                               ";"    1480";"     730";"     750";"     225";"     155";"     395";"     420";"     295";"    8979";"       .";"      1943"
"2454";"BU03750301";"Beverwijk                               ";"    1930";"     930";"     995";"     295";"     200";"     560";"     480";"     405";"    9910";"       .";"      1944"
"2455";"BU03750302";"Beverwijk                               ";"    1585";"     795";"     790";"     270";"     190";"     515";"     420";"     200";"    9545";"       .";"      1944"
"2456";"BU03750303";"Beverwijk                               ";"     425";"     215";"     210";"      55";"      35";"     110";"     130";"     100";"   10848";"       .";"      1944"
"2457";"WK037504  ";"Beverwijk                               ";"    1445";"     715";"     725";"     205";"     170";"     295";"     435";"     345";"    4943";"       .";"         ."
"2458";"BU03750400";"Beverwijk                               ";"     845";"     415";"     430";"     105";"     105";"     160";"     250";"     230";"    4345";"       .";"      1943"
"2459";"BU03750401";"Beverwijk                               ";"     595";"     300";"     295";"     100";"      65";"     135";"     185";"     120";"    6144";"       .";"      1943"
"2460";"WK037505  ";"Beverwijk                               ";"    3055";"    1515";"    1540";"     450";"     350";"     565";"    1040";"     650";"    1759";"    28.7";"         ."
"2461";"BU03750500";"Beverwijk                               ";"    2225";"    1105";"    1120";"     325";"     245";"     400";"     755";"     505";"    5891";"       .";"      1944"
"2462";"BU03750501";"Beverwijk                               ";"     695";"     340";"     355";"      95";"      90";"     110";"     260";"     145";"     585";"       .";"      1944"
"2463";"BU03750502";"Beverwijk                               ";"     130";"      70";"      60";"      35";"      20";"      55";"      25";"       5";"     788";"       .";"      1944"
"2464";"WK037506  ";"Beverwijk                               ";"    4685";"    2305";"    2375";"     830";"     595";"    1305";"    1220";"     740";"    5923";"    20.2";"         ."
"2465";"BU03750600";"Beverwijk                               ";"    3035";"    1495";"    1540";"     545";"     385";"     930";"     785";"     400";"    9477";"    19.7";"      1946"
"2466";"BU03750601";"Beverwijk                               ";"    1645";"     810";"     835";"     290";"     210";"     380";"     435";"     340";"    3501";"       .";"      1946"
"2467";"WK037507  ";"Beverwijk                               ";"    6160";"    2965";"    3190";"     815";"     625";"    1465";"    1575";"    1685";"    6761";"    23.5";"         ."
"2468";"BU03750700";"Beverwijk                               ";"    1820";"     925";"     895";"     345";"     225";"     585";"     435";"     235";"    8530";"       .";"      1945"
"2469";"BU03750701";"Beverwijk                               ";"    1075";"     505";"     565";"     160";"      85";"     205";"     280";"     355";"    6129";"       .";"      1945"
"2470";"BU03750702";"Beverwijk                               ";"    2545";"    1195";"    1350";"     230";"     220";"     530";"     610";"     960";"    9357";"       .";"      1945"
